,순번,기업이름,카테고리 구분,기업정보,대표기술,대표제품,사이트 주소
,1,라이스잇,식물성,"쌀의 이용가치를 높이는 식품소재와 
상품을 만드는 푸드테크 기업",,"쌀 아이스크림 믹스, 라이스밀크, 현미칩,
쌀 단백질, 저항전분, 노화지연 쌀가루 등                                                                                                                                                                                                                                                    식품제조기업용 기능성 쌀소재 개발","https://smartstore.naver.com/riceeat/profile
https://www.instagram.com/riceeat_official"
,2,메타텍스쳐,대체식품,"안전하고 건강한 식자재를 위한 푸드테크
고품질 대체식품 개발 솔루션 기업",단백질 조합기술 (분리대두단백),"식물성 삶은 노른자/흰자블럭, 식물성 난백분말
식물성 계란 지단채, 식물성 계란 지단 (ALOK)",https://metatexture.co.kr/main
,3,얼티브,식물성,"CJ 제일제당 PB 브랜드, 
쌀, 콩, 견과류 블렌드의 식물성 우유",,"식물성 얼티브 일반, 얼티브 영양식군","https://altive.kr/
https://www.cj.co.kr/kr/brands/altive"
,4,인테이크(이노센트),대체식품,"푸드테크를 기반으로 한 혁신적인 대체식품
당류와 동물성 단백질의 대체 중심.","당류 대체기술, 소/돼지고기 대체육 기술, 
계란 대체기술, 미생물 기반 대체단백질 프로젝트","무설탕 코코넛 젤리/음료, 식물성 프로틴 큐브,
프로틴 크런치볼, 프로틴바, 팔라펠 (이노센트 라인)","https://www.shopintake.com/
https://www.intakefoods.kr/about/"
,5,나이스케키,식물성,우유와 계란을 제외한 쌀로 만든 아이스크림,,쌀로 만든 아이스크림 군,"https://nicekekki.kr/
https://smartstore.naver.com/sustableshop"
,6,해랑&바이오델타,대체식품,"식물기반의 기능성 식품소재 푸드테크기업
특허기술로 만든 건조곤약이 메인",건조곤약 가공기술,"건조곤약밥, 건조곤약면, 곤약빵믹스,
건조곤약리조또, 곤약미트(대체육), 건조과립곤약(대체어란)
식물성 단백질 (파바빈,레드렌틸,병아리콩), 마린미네랄","https://ihaerang.com/
http://www.biodelta.co.kr/"
,7,알티스트,대체식품,"친환경 푸드테크기업, 대체식품군 메인",,"대체당(스테비아, 알룰로스), 
대체밀가루 (아몬드파우더, 타피오카파우더)
대체육(콩,곤약, 타피오카, 밀 등 식물성)",https://altist.com/
,8,플랜트팻,대체식품,"건강한 식물성 재료를 이용하여
대체지방을 개발하는 푸드테크 기업","대체육용 지방구현, 식감개선 지방기술",식물성 크림치즈 (올리비),https://smartstore.naver.com/plantfat
,9,Martini Professional,식물성,디저트 전문기업,,"식물성 액상 프리믹스 (오트베이스, 대두베이스)",https://www.martiniprofessional.net/orasi-gelato/
,10,더플랜잇(잇츠베러),대체식품,"하영콩 기반 콩단백으로 더 나은 식품을 만드는
고품질 식물성 단백질 원료개발 푸드테크 기업",단백응용,"식물성 통밀 크래커, 제로슈가쿠키, 
식물성 베이글칩, 식물성 소스, 콩단백면","https://www.theplanteat.com/main/
https://planteatshop.com/"
